Row,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,PredictedTsDDTestability
0,L978,DAWN,simulator.DAWN,L104,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\DAWN.java,19,1,58,2,0.0,0,0,0,0.0,,0,0,1,1,1,3,0,3,0,0,1,0.5,0.342105,13,8,1,1,0.342105,13,0,0,0,0,0,25,40,3,0,3,0,1,2,1,0,1,13,2,1,0,25,40,3,0,3,0,1,2,1,0,1,13,2,1,0,0,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0.30209770421631416
1,L122,BehaviourContactNeighbours,simulator.CA.BehaviourContactNeighbours,L113,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\CA\BehaviourContactNeighbours.java,28,1,130,2,0.0,0,0,0,0.0,,0,0,2,1,1,15,6,1,1,7,19,0.5,0.209302,18,14,1,1,0.209302,18,1,1,0,0,1,68,103,8,0,4,0,12,0,1,0,12,33,4,1,0,68,103,8,0,4,0,12,0,1,0,12,33,4,1,0,0,0,24,8,10,0,0,0,0,0,0,1,0,0,0,0,0,4,21,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,1,1,2,0,0,3,0,0.43718471560327615
2,L233,BehaviourLaunchGUI,simulator.CA.BehaviourLaunchGUI,L113,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\CA\BehaviourLaunchGUI.java,25,1,68,2,0.0,0,0,0,0.0,,0,0,1,4,4,8,2,1,1,0,2,1.0,0.304348,14,9,3,0,0.304348,14,0,0,0,0,0,32,44,4,0,4,0,2,0,2,0,2,17,0,2,0,32,44,4,0,4,0,2,0,2,0,2,17,0,2,0,0,0,6,2,6,0,0,1,0,0,0,0,0,2,0,0,0,3,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.24172226554304624
3,L261,BehaviourReceivePriceAndMetData,simulator.CA.BehaviourReceivePriceAndMetData,L113,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\CA\BehaviourReceivePriceAndMetData.java,31,1,85,4,0.0,0,0,0,0.0,,0,0,1,4,4,7,4,1,1,3,5,0.666667,0.280702,16,10,2,1,0.280702,16,1,1,0,0,1,41,55,7,0,3,0,2,0,2,0,2,21,4,2,0,41,55,7,0,3,0,2,0,2,0,2,21,4,2,0,0,0,9,1,5,0,0,1,0,0,0,0,0,2,0,0,0,2,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.27557469841044285
4,L289,BehaviourReceiveSavePersonalDataRequest,simulator.CA.BehaviourReceiveSavePersonalDataRequest,L113,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\CA\BehaviourReceiveSavePersonalDataRequest.java,29,1,73,2,0.0,0,0,0,0.0,,0,0,1,4,4,8,3,1,1,2,4,1.0,0.255319,12,8,3,0,0.255319,12,0,0,0,0,0,35,45,4,0,4,0,2,0,2,0,2,20,0,2,0,35,45,4,0,4,0,2,0,2,0,2,20,0,2,0,0,0,6,1,5,0,0,1,0,0,0,0,0,2,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.22612869821806011
5,L323,BehaviourReplyNeighbour,simulator.CA.BehaviourReplyNeighbour,L113,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\CA\BehaviourReplyNeighbour.java,27,1,111,2,0.0,0,0,0,0.0,,0,0,1,5,5,13,6,1,1,9,12,1.0,0.26506,22,9,3,0,0.26506,22,0,0,0,0,0,61,85,5,0,5,0,3,0,2,0,3,37,0,2,0,61,85,5,0,5,0,3,0,2,0,3,37,0,2,0,0,2,6,1,7,0,2,2,0,0,0,0,0,2,0,0,0,4,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1825709187627761
6,L380,BehaviourSendPersonalConsumption,simulator.CA.BehaviourSendPersonalConsumption,L113,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\CA\BehaviourSendPersonalConsumption.java,23,1,62,4,0.0,0,0,0,0.0,,0,0,1,2,2,5,4,1,1,2,4,0.333333,0.297297,11,6,1,2,0.297297,11,1,1,0,0,1,26,40,6,0,2,0,2,0,2,0,2,16,4,2,0,26,40,6,0,2,0,2,0,2,0,2,16,4,2,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.32347166663901256
7,L138,ConsumerAgent,simulator.CA.ConsumerAgent,L113,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\CA\ConsumerAgent.java,41,1,717,2,0.0143655,1,1,1,0.0177253,,12,0,2,6,6,74,23,9,8,34,47,0.666667,0.205761,100,54,2,1,0.216783,124,0,0,0,0,0,386,597,20,2,20,2,13,2,2,0,13,272,2,2,0,448,677,25,2,25,2,18,2,5,0,18,304,2,5,0,0,4,70,11,55,0,5,19,0,14,0,1,0,9,4,3,0,10,32,2,0,0,0,0,0,10,5,0,0,0,0,0,0,4,4,1,11,4,2,2,2,0.11732943629657903
8,L998,MetOfficeAgent,simulator.MOA.MetOfficeAgent,L995,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\MOA\MetOfficeAgent.java,40,1,342,2,0.08,1,6,2,0.0726073,,22,0,1,3,3,19,4,1,1,5,11,0.5,0.394737,45,39,1,1,0.359551,96,1,1,0,0,1,69,156,12,0,8,0,6,0,1,0,6,41,4,1,0,171,303,17,2,13,2,12,0,4,0,12,93,4,4,0,0,4,32,7,15,0,0,1,0,14,0,0,0,2,3,0,0,9,12,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,0,4,0,1,1,0,0.3589474469764814
9,L200,AskWeightsFor,simulator.ontology.AskWeightsFor,L1116,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\ontology\AskWeightsFor.java,14,1,30,2,0.0,0,0,0,0.0,,0,0,1,0,0,8,2,4,3,0,8,0.111111,0.333333,6,6,1,8,0.333333,6,0,0,0,0,0,12,17,2,3,2,3,8,0,8,2,8,8,0,8,2,12,17,2,3,2,3,8,0,8,2,8,8,0,8,2,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7400789442222724
