Row,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,PredictedTsDDTestability
0,L1748,AbstractBasicDetails,org.scijava.AbstractBasicDetails,L105,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\AbstractBasicDetails.java,42,1,119,2,0.0,0,0,0,0.0,,0,0,1,1,1,11,2,17,30,3,13,0.363636,0.184615,12,12,4,7,0.184615,12,2,2,2,10,1,53,78,4,3,4,3,10,0,10,3,10,16,0,10,3,53,78,4,3,4,3,10,0,10,3,10,16,0,10,3,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7464280333069566
1,L1803,AbstractContextual,org.scijava.AbstractContextual,L105,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\AbstractContextual.java,46,1,63,2,0.0,0,0,0,0.0,,0,0,1,1,1,3,3,18,17,1,3,0.666667,0.48,12,12,2,1,0.48,12,1,1,12,291,1,13,18,1,1,1,1,2,0,2,0,3,4,0,3,1,13,18,1,1,1,1,2,0,2,0,3,4,0,3,1,0,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5135916524378007
2,L1825,AbstractGateway,org.scijava.AbstractGateway,L105,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\AbstractGateway.java,73,1,307,2,0.0,0,0,0,0.0,,0,0,2,1,1,45,41,1,1,22,61,0.15,0.0947368,18,11,6,34,0.0947368,18,3,13,1,1,2,172,235,4,10,1,5,39,0,39,0,51,53,0,51,3,172,235,4,10,1,5,39,0,39,0,51,53,0,51,3,0,0,87,0,4,0,0,2,0,0,0,1,0,0,0,2,0,0,77,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0.7104719491830088
3,L2049,AbstractUIDetails,org.scijava.AbstractUIDetails,L105,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\AbstractUIDetails.java,39,1,183,2,0.0,0,0,0,0.0,,0,0,2,1,1,22,4,9,27,8,27,0.2,0.142857,17,17,4,16,0.142857,17,3,5,2,6,2,102,145,14,9,9,5,19,0,19,9,31,30,1,31,12,102,145,14,9,9,5,19,0,19,9,31,30,1,31,12,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.8514524259699322
4,L1810,Context,org.scijava.Context,L105,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\Context.java,61,1,595,2,0.0,0,0,0,0.0,,0,0,2,5,3,72,16,46,54,21,52,0.875,0.532129,265,240,21,3,0.532129,265,1,1,0,0,1,233,535,4,6,4,6,31,1,23,1,31,121,1,23,1,233,535,4,6,4,6,31,1,23,1,31,121,1,23,1,0,0,37,5,21,0,0,10,0,0,0,1,0,1,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,3,11,1,0,0.5228997631907576
5,L2687,InstantiableException,org.scijava.InstantiableException,L105,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\InstantiableException.java,37,1,57,2,0.0,0,0,0,0.0,,0,0,0,0,0,4,0,5,2,0,4,0.2,0.25,5,5,1,4,0.25,5,0,0,0,0,0,15,21,1,0,1,0,4,0,4,0,4,4,0,4,0,15,21,1,0,1,0,4,0,4,0,4,4,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6012111706125839
6,L8462,MenuEntry,org.scijava.MenuEntry,L105,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\MenuEntry.java,40,1,132,2,0.0,0,0,0,0.0,,0,0,1,1,1,20,2,9,15,0,15,0.25,0.151899,12,12,4,12,0.151899,12,1,1,0,0,1,67,93,6,5,6,5,15,1,15,5,15,29,1,15,5,67,93,6,5,6,5,15,1,15,5,15,29,1,15,5,0,0,36,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.8193717525453458
7,L2060,MenuPath,org.scijava.MenuPath,L105,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\MenuPath.java,40,1,117,2,0.0,0,0,0,0.0,,0,0,0,2,2,17,1,11,10,1,9,1.0,0.402778,29,28,9,0,0.402778,29,0,0,0,0,0,43,78,2,3,2,3,8,1,8,0,8,23,1,8,0,43,78,2,3,2,3,8,1,8,0,8,23,1,8,0,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.6123908036307818
8,L4432,NoSuchServiceException,org.scijava.NoSuchServiceException,L105,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\NoSuchServiceException.java,39,1,59,2,0.0,0,0,0,0.0,,0,0,0,0,0,4,0,1,1,0,4,0.2,0.318182,7,7,1,4,0.318182,7,0,0,0,0,0,15,21,1,0,1,0,4,0,4,0,4,4,0,4,0,15,21,1,0,1,0,4,0,4,0,4,4,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6016822798814768
9,L1819,NullContextException,org.scijava.NullContextException,L105,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\NullContextException.java,37,1,59,2,0.0,0,0,0,0.0,,0,0,0,0,0,4,0,5,5,0,4,0.2,0.227273,5,5,1,4,0.227273,5,0,0,0,0,0,17,23,1,0,1,0,4,0,4,0,4,4,0,4,0,17,23,1,0,1,0,4,0,4,0,4,4,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60633708394586
