Row,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,PredictedTsDDTestability
0,L208679,Run,weka.Run,L104,L103,D:\IdeaProjects\107_weka\src\main\java\weka\Run.java,41,1,284,2,0.178082,1,10,2,0.172131,,42,0,1,9,7,66,14,0,0,11,12,1.0,0.110619,25,20,2,0,0.102881,25,0,0,0,0,0,201,224,0,0,0,0,1,0,1,0,1,139,0,1,0,218,244,9,0,9,0,3,8,2,0,3,141,8,2,0,0,14,41,18,7,0,5,2,0,9,0,0,0,5,0,2,0,5,11,3,0,0,0,9,0,0,13,0,0,0,0,0,0,0,2,0,14,3,0,0,0,0.16955940863197586
1,L208726,Run,weka.Run,L104,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\Run.java,41,1,284,2,0.0,0,0,0,0.0,,0,0,1,14,14,156,16,0,0,11,12,1.0,0.110619,25,20,3,0,0.102881,25,0,0,0,0,0,201,224,1,0,1,0,1,1,1,0,1,323,1,1,0,218,244,12,0,12,0,5,11,4,0,5,340,11,4,0,0,14,50,19,8,0,3,0,0,0,0,0,0,6,0,2,0,7,21,3,0,0,0,9,0,0,13,0,0,0,0,0,0,3,2,0,21,4,0,0,0,0.30317833494012475
2,L168,AbstractAssociator,weka.associations.AbstractAssociator,L118,L103,D:\IdeaProjects\107_weka\src\main\java\weka\associations\AbstractAssociator.java,40,1,147,2,0.298851,1,3,1,0.12037,,13,0,4,2,2,11,8,12,22,7,13,1.0,0.556604,59,59,7,0,0.556604,59,1,3,6,8,3,47,108,2,3,2,2,6,0,6,0,8,20,0,8,0,47,108,2,3,2,2,6,0,6,0,8,20,0,8,0,0,0,9,8,5,0,0,2,0,7,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0.5735546871559849
3,L265,Apriori,weka.associations.Apriori,L118,L103,D:\IdeaProjects\107_weka\src\main\java\weka\associations\Apriori.java,162,1,1778,2,0.0861673,21,24,21,0.0544218,,88,0,16,5,5,189,29,8,4,63,131,0.951613,0.412224,634,571,59,3,0.412224,634,2,8,0,0,5,904,1617,28,27,26,24,68,1,61,14,75,564,1,68,14,904,1617,28,27,26,24,68,1,61,14,75,564,1,68,14,0,3,96,24,73,0,1,15,0,24,0,1,0,9,8,4,0,8,25,0,0,0,2,0,0,0,5,0,0,0,0,0,0,26,9,2,31,4,11,9,2,0.32563184083112695
4,L594,AprioriItemSet,weka.associations.AprioriItemSet,L118,L103,D:\IdeaProjects\107_weka\src\main\java\weka\associations\AprioriItemSet.java,46,1,633,2,0.195937,3,23,4,0.110544,,65,0,2,5,5,66,7,2,8,15,35,0.684211,0.261194,140,126,13,6,0.261194,140,2,2,0,0,2,396,588,6,6,1,4,20,0,18,0,44,297,0,42,4,396,588,6,6,1,4,20,0,18,0,44,297,0,42,4,0,0,49,11,30,0,0,16,0,15,0,1,0,5,3,1,0,8,17,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,9,2,0,6,1,0.47695587765045266
5,L768,AssociationRule,weka.associations.AssociationRule,L118,L103,D:\IdeaProjects\107_weka\src\main\java\weka\associations\AssociationRule.java,33,1,185,2,0.0,0,0,0,0.0,,0,0,1,3,3,26,1,11,2,0,15,0.9375,0.6,84,82,15,1,0.6,84,0,0,2,2,0,56,153,0,12,0,12,15,0,15,0,15,22,0,15,0,56,153,0,12,0,12,15,0,15,0,15,22,0,15,0,0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0.6478378277785328
6,L763,AssociationRules,weka.associations.AssociationRules,L118,L103,D:\IdeaProjects\107_weka\src\main\java\weka\associations\AssociationRules.java,35,1,134,2,0.0,0,0,0,0.0,,0,0,0,1,1,10,3,20,16,2,10,1.0,0.576087,53,53,9,0,0.576087,53,0,0,2,2,0,39,100,3,3,3,3,8,0,8,2,8,16,0,8,2,39,100,3,3,3,3,8,0,8,2,8,16,0,8,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0.6828146623599376
7,L1144,AssociatorEvaluation,weka.associations.AssociatorEvaluation,L118,L103,D:\IdeaProjects\107_weka\src\main\java\weka\associations\AssociatorEvaluation.java,42,1,292,2,0.416252,4,10,4,0.262948,,66,0,1,2,2,26,9,4,6,13,24,1.0,0.406393,89,78,11,0,0.406393,89,1,1,0,0,1,130,251,1,1,1,1,11,0,10,0,11,82,0,10,0,130,251,1,1,1,1,11,0,10,0,11,82,0,10,0,0,1,22,16,19,0,1,5,0,21,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,8,10,3,0,0.34271713210160665
8,L1247,BinaryItem,weka.associations.BinaryItem,L118,L103,D:\IdeaProjects\107_weka\src\main\java\weka\associations\BinaryItem.java,36,3,81,4,0.40404,1,3,1,0.304348,,14,0,1,1,1,9,3,10,4,8,11,0.75,0.434783,20,19,3,1,0.434783,20,2,2,0,0,1,26,46,6,5,1,0,3,0,3,0,21,10,0,21,0,26,46,6,5,1,0,3,0,3,0,21,10,0,21,0,0,0,11,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.6068374840861543
9,L1295,CheckAssociator,weka.associations.CheckAssociator,L118,L103,D:\IdeaProjects\107_weka\src\main\java\weka\associations\CheckAssociator.java,193,1,1541,2,0.838194,59,278,64,0.573017,,773,0,2,6,6,148,19,0,0,57,84,1.0,0.396527,548,543,9,0,0.396527,548,3,4,0,0,2,834,1349,15,17,2,3,27,1,8,2,69,468,1,40,16,834,1349,15,17,2,3,27,1,8,2,69,468,1,40,16,0,0,173,46,64,0,0,35,0,105,0,1,0,10,14,8,0,8,20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11,18,0,28,14,6,3,0,0.500022846117762
